,reading_id,prcp_bool,station,name,latitude,longitude,elevation,date,prcp,tobs
159,159,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-27,0.0,78
160,160,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-28,0.0,78
161,161,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-29,0.0,78
162,162,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-06-30,0.0,78
163,163,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-01,0.01,75
164,164,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-02,0.05,77
165,165,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-03,0.09,77
166,166,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-04,0.05,78
167,167,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-05,0.06,78
168,168,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-06,0.08,76
169,169,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-07,0.08,74
170,170,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-08,0.03,76
171,171,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-09,0.06,74
172,172,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-10,0.09,76
173,173,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-11,0.0,78
174,174,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-12,0.0,77
175,175,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-13,0.0,80
176,176,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-16,-10.0,78
177,177,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-17,0.02,76
178,178,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-18,0.0,77
179,179,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-19,0.04,77
180,180,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-21,0.0,80
181,181,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-22,0.0,78
182,182,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-24,0.0,80
183,183,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-25,0.0,79
184,184,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-26,0.0,78
185,185,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-27,0.0,79
186,186,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-28,0.0,78
187,187,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-29,0.0,79
188,188,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-30,0.0,78
189,189,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-07-31,0.02,77
190,190,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-01,0.04,77
191,191,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-02,0.01,76
192,192,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-03,0.02,77
193,193,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-04,0.07,77
194,194,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-05,0.08,75
195,195,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-06,0.03,75
196,196,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-07,0.0,80
197,197,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-08,0.0,77
198,198,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-09,0.0,78
199,199,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-10,0.0,78
200,200,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-11,0.0,77
201,201,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-12,0.0,76
202,202,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-13,0.0,78
203,203,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-14,0.0,78
204,204,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-15,0.01,76
205,205,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-16,0.0,76
206,206,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-17,0.05,74
207,207,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-18,0.0,77
208,208,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-19,0.0,79
209,209,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-20,0.0,79
210,210,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-21,0.0,79
211,211,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-22,0.0,75
212,212,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-23,0.01,87
213,213,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-24,0.0,78
214,214,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-25,0.04,76
215,215,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-26,0.03,78
216,216,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-27,0.0,78
217,217,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-28,0.04,79
218,218,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-29,0.0,78
219,219,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-30,0.0,78
220,220,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-08-31,0.0,80
221,221,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-01,0.0,77
222,222,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-02,0.02,76
223,223,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-03,0.04,78
224,224,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-04,0.01,77
225,225,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-09-05,0.0,77
